id,name,year,rank
2246675,Elixir and Dust,2008,5.9
5468178,Mina's Choice,2016,4.7
8000708,Emperor of Hell,2018,6.9
3509796,Today,2014,6.1
1111894,A Girl Is Going to Die Tonight,1969,4.0
333399,The Exam,2002,6.9
6151774,Final Exam,2016,4.1
6203694,End of the Service,2014,5.4
2040342,Endless Dreams,2009,4.4
7967752,Endless?,2018,6.7
428495,The Humans,1964,7.0
6224632,Isolation,2017,5.3
5650614,Equation,2003,4.6
6211490,Delighted,2016,7.4
3785708,Obit,2014,4.7
309565,Low Heights,2002,7.4
12921354,Eshgh Bealaveh do,1998,3.6
1107331,Love Without Frontier,1998,4.5
2268437,Love Isn't Enough,1999,4.6
284090,Eshghe Taher,1999,6.0
293128,Gharoon's Love,1968,6.2
8374200,Lovelance: The Center of Emergency Love,2018,3.1
432400,Love and Vengeance,1965,6.3
87218,Fleeing from Evil to God,1984,4.6
3414274,Give Back,2013,5.6
3784684,A Petition for Allah,2008,5.7
4079782,Estérahaté Motlagh,2015,5.8
5355896,Confessions of My Dangerous Mind,2015,5.7
270348,Protest,2000,6.1
12662544,Eternal Children,2006,4.5
4620346,Everything Is Fine Here,2013,7.1
3138188,Executions,2019,2.8
11771036,Exodus,2020,5.1
416729,Through Sunglasses,2000,5.8
6644280,Marriage in the Extra Time,2010,3.7
5939272,The Pink Marriage,2005,3.4
945553,Marriage Iranian Style,2006,4.9
2265293,Agitation,1976,6.7
6240914,Fabric Friends,2011,4.6
405908,Fadime,1970,5.1
11531238,Faramoshnameh,2016,8.9
122060,Escape from the Trap,1971,6.8
319400,Evading the Truth,1966,3.9
877617,Farari,2005,4.0
333437,Farda,2002,7.7
404035,Tomorrow Is Bright,1960,5.9
4818952,Tomorrow,2014,5.2
4849528,Farewell Analog,2015,7.6
1786476,Farewell Baghdad,2010,5.8
821772,Farman,1982,4.3
317477,Cry,1999,4.5
939863,Faryad,1971,4.1
949524,Scream of the Ants,2006,6.0
1091766,Faryad-e zir-e ab,1977,6.3
319401,The Midnight Terror,1961,6.5
3178120,Foster Kid,2012,5.7
1849765,Child of Morning,2011,4.4
1431243,Child of the Soil,2008,6.6
2186916,Fasele,2009,4.5
5781386,Season of Narges,2017,5.8
125099,The Fifth Season,1997,6.6
1794787,Rainy Seasons,2010,4.9
398881,The Conqueror,1995,5.1
319403,Conquerors of the Desert,1971,5.2
10233502,Feminin,2018,7.8
7562038,Butcher Angels,2013,8.1
406768,The Runaway Angel,1961,4.9
416736,An Angel in My House,1963,4.3
470759,Shirin and Farhad,1970,5.7
5704476,Feri Dast Ghashang,1977,3.2
6217748,Ferrari,2017,4.9
5287920,Elephant in the Dark,2003,5.0
4247046,Fireworks,2015,4.1
370568,First Children,1999,7.5
2816152,First Move,2007,3.0
1733133,Flamingo No. 13,2010,6.4
5079110,Foggy Road,2015,7.2
2612248,Formula of Death,2012,6.0
5186714,The Salesman,2016,7.8
2290345,From Tehran to London,2012,7.7
1483373,Frontier Blues,2009,6.6
64356,The Cow,1969,8.0
116384,Gabbeh,1996,6.9
386478,The Twilight,2002,5.6
364361,Gahi be aseman negah kon,2003,6.8
5217152,A Cradle for the Mother,2013,7.9
5907728,Lifeline,2011,6.7
2186852,Galoogah-e Sheytan,2011,4.6
434044,Croesus' Treasure,1965,6.3
1107907,Gard-e vizheh,1995,4.5
2389120,Gasht-e ershad,2012,5.5
6211538,Gasht-e ershad 2,2017,4.7
3342328,Acrid,2013,5.3
364365,The River's End,2003,6.3
74565,The Deer,1974,8.0
821777,Gerdab,2005,5.8
293173,The Whirlpool of Sin,1968,4.6
452017,Gerdbad,1985,4.3
1715780,Gesher,2010,5.5
783719,Ghadamgah,2004,6.0
793519,Ghadeghan,1978,5.6
